id,name,image,type,damage type,attack power,passive effect,description,dlc
0,Piquebone Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/piquebone_arrow_(fletched)_arrow_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '25', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Arrow whittled from animal bones. The tip is soaked in putrescence. Releases a white smoke at the point of impact, luring in foes of human build who are not in combat, and drawing their aggression. Effective on demi-humans even if they are already in a combat state. Craftable item. The fletching adds distance to the arrow's flight.",1
1,Piquebone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/piquebone_arrow_arrow_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '25', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Arrow whittled from animal bones. The tip is soaked in putrescence. Releases a white smoke at the point of impact, luring in foes of human build who are not in combat, and drawing their aggression. Effective on demi-humans even if they are already in a combat state. Craftable item.",1
2,Igon's Harpoon,http://eldenring.wiki.fextralife.com/file/Elden-Ring/igons_harpoon_great_arrow_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Greatarrow,Pierce,"{'Phy': '90', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Great arrow that bristles with sharp gravel stone pieces. Has an anti-dragon effect. The broken drake warrior Igon made these one by one in the midst of his agonyso that Bayle the Dread himself would know fear.,1
3,Piquebone Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/piquebone_bolt_bolt_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '25', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Bolt whittled from animal bones. The tip is soaked in putrescence. Releases a white smoke at the point of impact, luring in foes of human build who are not in combat, and drawing their aggression. Effective on demi-humans even if they are already in a combat state. Craftable item.",1
4,Rabbath's Greatbolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rabbaths_greatbolt_great_bolt_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Greatbolt,Pierce,"{'Phy': '50', 'Mag': '150', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Greatbolt tipped with a clump of glintstone shards. One of Spellmachinist Rabbath's innovative designs. Detonates a large explosion on impact, dealing magic damage.",1
5,Firebone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/firebone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '13', 'Mag': '0', 'Fire': '93', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Arrow whittled from animal bones. The tip is set alight before firing. Deals fire damage. Craftable item.,0
6,Firebone Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/firebone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '13', 'Mag': '0', 'Fire': '93', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Arrow whittled from animal bones. The tip is set alight before firing. Deals fire damage. Craftable item. The fletching adds distance to the arrow's flight.,0
7,Bone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '42', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Arrow whittled from thin animal bones. Craftable item. Though the arrowhead is sharp indeed, it doesn't fly particularly true.",0
8,Bone Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '42', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Arrow whittled from thin animal bones. Craftable item. The feather fletching adds distance to the arrow's flight.,0
9,Poisonbone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/poisonbone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '28', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Causes Poison buildup (60),Arrow whittled from animal bones. The tip is daubed with venom. Afflicts targets with poison. Craftable item.,0
10,Poisonbone Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/poisonbone_arrow__fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '28', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Confers Poison status ailment,Arrow whittled from animal bones. The tip is daubed with venom. Afflicts targets with poison. Craftable item. The fletching adds distance to the arrow's flight.,0
11,St. Trina's Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/st_trinas__arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '30', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Causes sleep buildup (96),Arrow carved to resemble a withered water lily. Afflicts targetswith a powerful sleep effect. Priests of St. Trina use these arrows to spread their teachings. The sweet oblivion of sleep can become quite the habit.,0
12,Sleepbone Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/sleepbone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '28', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Confers Sleep status ailment (84),Arrow whittled from animal bones. The tip is daubed with a water lily tincture. Afflicts targets with sleep. Craftable item. The fletching adds distance to the arrow's flight.,0
13,Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/arrow_arrows_and_bolts_elden_ring_wiki_guide_200p.png,Arrow,Pierce,"{'Phy': '45', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Arrows used with small and long bows. Unremarkable in any way, shape or form.",0
14,Sleepbone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sleepbone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '28', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Confers Sleep status ailment (84),Arrow whittled from animal bones. The tip is daubed with a water lily tincture. Afflicts targets with sleep. Craftable item.,0
15,Bone Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '44', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Bolt carved from a thin animal bone. Craftable item. Though the tip is certainly sharp, it does not fly particularly true.",0
16,Firebone Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/firebone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '18', 'Mag': '0', 'Fire': '78', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Bolt carved from animal bone. The tip is set alight before firing. Deals fire damage. Craftable item.,0
17,Lordsworn's Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lordswordn_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '65', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Well-crafted bolt with an illustrious design, wielded by regulars of a lord's army. Deals more damage by its commonplace cousin.",0
18,Ballista Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ballista_bolt_elden_ring_wiki_guide_200px.png,Greatbolt,Pierce,"{'Phy': '160', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Greatbolt as large as a spear for use with Hand Ballista.,0
19,Fire Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '15', 'Mag': '0', 'Fire': '95', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Arrow with the tip set alight. Deals fire damage.,0
20,Perfumer's Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/perfumers_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '15', 'Mag': '0', 'Fire': '65', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Bolt created with perfumer techniques. Used by nobles' guards and the like. The point of impact explodes with sparks, dealing fire damage.",0
21,Flaming Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/flaming_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '20', 'Mag': '0', 'Fire': '80', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Bolt with a fiercely burned tip. Deals powerful fire damage. Used by survivors of Radahn's army to stave off the scarlet rot.,0
22,Radahn's Spear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/radahns_spear_elden_ring_wiki_guide_200px.png,Greatarrow,Pierce,"{'Phy': '100', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Greatarrows used by the General Radahns during the festival of combat. These are in fact the many spears with which he was stabbed by the Cleanrot Knights. Imbued with Radahn's gravitational power.,0
23,Great Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/great_arrow_elden_ring_wiki_guide_200px.png,Greatarrow,Pierce,"{'Phy': '100', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,A greatarrow as large as a spear for use with greatbows. Used by archers of monstrous strength employed by a lord's army.,0
24,Dwelling Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dwelling_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '15', 'Mag': '95', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Arrow in which the spirits of small animals are thought to dwell. Deals magic damage.,0
25,Black-Key Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/black-key_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '30', 'Mag': '-', 'Fire': '-', 'Ligt': '-', 'Holy': '-', 'Crit': '100'}",Causes scarlet rot buildup (60),"Bolts used in Crepus' Black-Key Crossbow, an assassin's tool of exquisite craftmanship. The intricate spiral tip bores deep, injecting scarlet rot far into the flesh of its target.",0
26,Meteor Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/meteor_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '25', 'Mag': '80', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Enchanted work of craft made in tandem with Full Moon Crossbow. The tip is embedded with glintstone. Like a shooting star, these bolts leave a beautiful trail when fired. Deals magic damage.",0
27,Explosive Greatbolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/explosive_greatbolt_elden_ring_wiki_guide_200px.png,Greatbolt,Pierce,"{'Phy': '50', 'Mag': '0', 'Fire': '150', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Greatbolt tipped with a clump of Explosive Stone shards. Detonates a large explosion on impact, dealing fire damage.",0
28,Serpent Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/serpent_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '30', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Causes heavy poison buildup (78),"Arrow carved to resemble a flying snake. Used in tandem with the Serpent Bow. Loyal minions of the Formless Serpents, their fangs are daubed with deadly poison.",0
29,Lightning Greatbolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lightning_greatbolt_greatbolt-elden-ring-wiki-guide-200.png,Greatbolt,Pierce,"{'Phy': '50', 'Mag': '0', 'Fire': '0', 'Ligt': '150', 'Holy': '0', 'Crit': '100'}",,Greatbolt tipped with a clump of Gravel Stone shards. Deals powerful lightning damage.,0
30,Rainbow Stone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rainbow_stone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '28', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Arrow whittled from animal bones tipped with chips of Rainbow Stone. Colored light shines at the point of impact. Craftable item.,0
31,Shattershard Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/shattershard_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '25', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Arrow whittled from animal bones tipped with a shard of crystal. Creates a resonating noise at the point of impact. Craftable item. The fletching adds distance to the arrow's flight.,0
32,Explosive Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/explosive_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '15', 'Mag': '0', 'Fire': '70', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",None,"Bolt tipped with a shard of Explosive Stone. Explodes on impact, dealing fire damage.",0
33,Burred Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/burred_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '30', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Causes blood loss buildup (65),"Bolt covered in thorns. One of the most horrific weapons used in the Shattering. Afflicts with blood loss. Diffcult to remove once buried in flesh, causes appalling damage to the body",0
34,Spiritflame Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/spiritflame_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '30', 'Mag': '40', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Causes frost build up (65),"Arrow set alight with ghostflame before firing. Deals magic damage while also afflicting foes with frost. Used by the Company of the Fallen Hawk, once ordered to explore the Eternal City.",0
35,Magicbone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/magicbone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '13', 'Mag': '93', 'Fire': '-', 'Ligt': '-', 'Holy': '-', 'Crit': '100'}",,Arrow whittled from animal bones. The tip is daubed with a glintstone tincture. Deals magic damage. Craftable item.,0
36,Magicbone Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/magicbone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '13', 'Mag': '93', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Arrow whittled from animal bones. The tip is daubed with a glintstone tincture. Deals magic damage. Craftable item. The fletching adds distance to the arrow's flight.,0
37,Lightningbone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lightningbone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '13', 'Mag': '0', 'Fire': '0', 'Ligt': '93', 'Holy': '0', 'Crit': '100'}",,Arrow whittled from animal bones with a lightning-infused tip. Deals lightning damage. Craftable item.,0
38,Lightningbone Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/lightningbone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '13', 'Mag': '0', 'Fire': '0', 'Ligt': '93', 'Holy': '0', 'Crit': '100'}",,Arrow whittled from animal bones with a lightning-infused tip. Deals lightning damage. Craftable item. The fletching adds distance to the arrow's flight.,0
39,Bloodbone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloodbone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '28', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Causes blood loss build up (55),Arrow whittled from animal bones. The tip is daubed with a blood tincture. Afflicts targets with blood loss. Craftable item.,0
40,Bloodbone Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloodbone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '28', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Causes blood loss build up (55),Arrow whittled from animal bones. The tip is daubed with a blood tincture. Afflicts targets with blood loss. Craftable item. The fletching adds distance to the arrow's flight.,0
41,Shattershard Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shattershard_arrow__elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '28', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Arrow whittled from animal bones tipped with a shard of crystal. Creates a resonating noise at the point of impact. Craftable item.,0
42,Golem's Great Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golems_great_arrow_elden_ring_wiki_guide_200px.png,Greatarrow,Pierce,"{'Phy': '105', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Greatarrow of black stone crafted by a civilization now gone to ruin. Used by the Guardian Golem.This hefty arrow is enrobed in tempestuous winds, allowing it to break enemy stances and guards with ease.",0
43,Haligbone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/haligbone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '13', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '93', 'Crit': '100'}",,Arrow whittled from animal bones. The tip is daubed with a golden tincture. Deals holy damage. Craftable item.,0
44,Haligbone Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/haligbone_arrow__fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '13', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '93', 'Crit': '100'}",,Arrow whittled from animal bones. The tip is daubed with a golden tincture. Deals holy damage. Craftable item. The fletching adds distance to the arrow's flight.,0
45,Rotbone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rotbone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '28', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Causes scarlet rot buildup (50),Arrow whittled from animal bones. The tip is daubed with rot. Afflicts targets with scarlet rot. Craftable item.,0
46,Rotbone Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/rotbone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '28', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Causes scarlet rot buildup (50),Arrow whittled from animal bones. The tip is daubed with rot. Afflicts targets with scarlet rot. Craftable item. The fletching adds distance to the arrow's flight.,0
47,Magicbone Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/magicbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '18', 'Mag': '78', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Bolt carved from animal bone. The tip is daubed with a glintstone tincture. Deals magic damage.Craftable item.,0
48,Lightningbone Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lightningbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '18', 'Mag': '0', 'Fire': '0', 'Ligt': '78', 'Holy': '0', 'Crit': '100'}",,Bolt crafted from animal bone with a lightning-infused tip. Deals lightning damage. Craftable item.,0
49,Haligbone Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/haligbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '18', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '78', 'Crit': '100'}",,Bolt carved from animal bone. The tip is daubed with a golden tincture. Deals holy damage. Craftable item.,0
50,Poisonbone Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/poisonbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '28', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Causes poison buildup (66),Bolt carved from animal bone. The tip is daubed with venom. Afflicts targets with poison. Craftable item.,0
51,Rotbone Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rotbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '28', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Causes scarlet rot buildup (55),Bolt carved from animal bone. The tip is daubed with rot. Afflicts targets with scarlet rot. Craftable item.,0
52,Bloodbone Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blodbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '28', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Causes blood loss buildup (50),Bolt carved from animal bone. The tip is daubed with a blood tincture. Afflicts targets with blood loss. Craftable item.,0
53,Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '50', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Ammunition used for crossbows.A widespread, common type of bolt.",0
54,Golden Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '15', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '95', 'Crit': '100'}",,"Carved arrows made in tandem with the Erdtree Bow. Deals holy damage. Highly effective against Those Who Live in Death, and able to prevent them from rising again.",0
55,Golden Great Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_great_arrow_elden_ring_wiki_guide_200px.png,Greatarrow,Pierce,"{'Phy': '40', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '110', 'Crit': '100'}",,"Carved greatarrows made together with the Erdtree Greatbow. Deals holy damage. Imbued with an oath-sworn incantation, which boosts the attack and defense of the archer and their nearby allies.",0
56,Golden Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '20', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '80', 'Crit': '100'}",,Bolt blessed with an incantation of the Erdtree. Deals powerful holy damage Once used by guards of the Capital.,0
57,Sleepbone Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sleepbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '28', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Confers Sleep status ailment (90),Bolt carved from animal bone. The tip is daubed with a waterlily tincture. Afflicts targets with sleep.,0
58,Rainbow Stone Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/rainbow_stone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '25', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Arrow whittled from animal bones tipped with chips of Rainbow Stone. Colored light shines at the point of impact. Craftable item. The fletching adds distance to the arrow's flight.,0
59,Bone Great Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_great_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '95', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Greatarrow as large as a spear whittled from stout animal bones.Though the tip is certainly sharp, it does not fly particularly true.",0
60,Coldbone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/coldbone_arrow__elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '28', 'Mag': '13', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Afflicts targets with frost,Arrow whittled from animal bones with a frozen tip. Afflicts targets with frost. Craftable item.,0
61,Coldbone Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/coldbone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '28', 'Mag': '13', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Afflicts targets with frost,Arrow whittled from animal bones with a frozen tip. Afflicts targets with frost. Craftable item. The fletching adds distance to the arrow's flight.,0
62,Coldbone Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/coldbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,"{'Phy': '28', 'Mag': '23', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",Causes frost buildup (65),Bolt carved from animal bone with a frozen tip. Afflicts targets with frost.Craftable item.,0
63,Golem's Magic Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golems_magic_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '40', 'Mag': '125', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Greatarrow of black stone crafted by a civilization now gone to ruin. Imbued with its ancient magic.Deals magic damage.,0
64,Storm Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/storm_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '55', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '10'}",,Animal bone arrow that knocks enemies away with a gust of wind.Craftable item.,0
65,Stormwing Bone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/stormwing_bone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '58', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Arrow whittled from animal bones fletched with stormhawk feathers. Craftable item. Flies enshrouded in storm winds, breaking enemy stances and guards with ease.",0
66,Bone Great Arrow (Fletched),http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_great_arrow__fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '95', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,Greatarrow as large as a spear whittled from stout animal bones.Craftable item.The fletching adds distance to the arrow's flight.,0
67,Bone Arrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,"{'Phy': '42', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Arrow whittled from thin animal bones. Craftable item. Though the arrowhead is sharp indeed, it doesn't fly particularly true.",0
68,Bone Ballista Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_ballista_bolt_elden_ring_wiki_guide_200px.png,Greatbolt,Pierce,"{'Phy': '158', 'Mag': '0', 'Fire': '0', 'Ligt': '0', 'Holy': '0', 'Crit': '100'}",,"Greatbolt as large as a spear carved from stout animal bones. Craftable item. Though the tip is certainly sharp, it does not fly particularly true.",0
