id,name,image,description,type,usage,location,dlc
72,Ruins Map (3rd),http://eldenring.wiki.fextralife.com/file/Elden-Ring/ruins_map_3_info_item_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A simple old map, faded and dirty. Acquired from Count Ymir, High Priest. Indicates a third and final hallowed ruin, distinct from those shown on the first two maps. ""May you join the glimmering stars above."" ",Maps,Map indicating the location of a hallowed ruin,Given by Count Ymir.,1
73,Map: Gravesite Plain,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_gravesite_plain_map_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Map of the Gravesite Plain. A somber plain covered in spiritgraves. The spiral tower of the hornsent lies to the northwest, and the entire expanse is marred by the harrowing ravages of war. ",Maps,Map of Gravesite Plain,"To find this Map Fragment, travel directly northeast from when you first entered the Shadow Realm. [Elden Ring Shadow of the Erdtree Interactive Map]",1
74,Map: Scadu Altus,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_scadu_altus_map_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Map of Scadu Altus. The plateau occupied by Messmer's army that peers towards the Scadutree to the northeast, named after its counterpart in the realm of the Erdtree. At its center lies the shadow keep. ",Maps,Map of Scadu Altus,"It can be found if you continue the path forward past the Highroad Cross Site of Grace, you will eventually run into it. [Elden Ring Shadow of the Erdtree Interactive Map]",1
75,Map: Southern Shore,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_southern_shore_map_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Map of the southern shore of the Gravesite Plain. A captivating vista of brilliant blue flowers, intermingled with colossal stone coffins of unknown origin that seemingly drifted to this place. To the east, the jagged peak thrusts upward into the clouds. ",Maps,Map of the southern shore of Gravesite Plain,"South of the Cerulean Coast Site of Grace past the ghost flame dragon, at a bend in the road. [See Shadow of the Erdtree Map]",1
76,Map: Rauh Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_rauh_ruins_map_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Map of the ancient Rauh Ruins. These giant ruins are flooded, overgrown, and split into two by a chasm. To the southwest is the Church of the Bud, overlooking the tower of shadow. ",Maps,Map of the Rauh Ruins,"Can be looted by the foot of a monolith. To reach this location, make your way into the Scadu Atlus region. Starting from the Moorth Ruins Site of Grace located in Scadu Atlus, head northeast towards the hidden cave and follow the tunnel leading to the Ancient Ruins Base. Next, follow the canyon along and you'll find it just outside the Temple Town Ruins. [Elden Ring Shadow of the Erdtree Interactive Map]",1
77,Map: Abyss,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_abyss_map_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Map of the abyss at the east of the Gravesite Plain. A thick forest sprawls at the depths of the ravine that is untouched even by sunlight. Known as the sanctum of Sage Midra, and is a region forbidden by the hornsent. ",Maps,Map of the Abyss to the east of Gravesite Plain,Map of the Abbys at the east of the Gravesite Plain. Found besides a column. [Elden Ring Shadow of the Erdtree Interactive Map],1
78,Sewing Needle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sewing_needle_elden_ring_wiki_guide_200px.png,"A large sewing needle, curved like a fang.Boc the demi-human's prized possession. ",Quest,"A large sewing needle, curved like a fang. Boc the demi-human's prized possession.","Coastal Cave, Limgrave Dropped by Demi-Human Chief",0
79,Gold Sewing Needle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gold_sewing_needle_elden_ring_wiki_guide_200px.png,"Sewing needle made of gold. Unique item made to alter demigod attire.  One of the tools brought by Radagon when he entered into marriage with Rennala, Queen of the Full Moon, and joined the Carian line. ",Quest,Special sewing needle for demigod attire.,"Church of Vows, Liurnia Found in a chest",0
80,Tailoring Tools,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tailoring_tools_elden_ring_wiki_guide_200px.png,A portable set of tailoring tools. Enables armor alterations at sites of grace. ,Feature Unlock,Enables armor adjustment at sites of grace.,"Coastal Cave, Limgrave Dropped by Demi-Human Chief",0
81,Golden Tailoring Tools,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_tailoring_tools_elden_ring_wiki_guide_200px.png,"Tailoring tools made from gold. Tools brought with the red-haired Radagon when he married into the Carian line. With these, even demigod attire can be altered at a site of grace. ",Feature Unlock,Allows demigod garb alteration at sites of grace.,"Church of Vows, Liurnia Found in a chest",0
82,"Map: Limgrave, West",http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_limgrave_west_elden_ring_wiki_guide_200px.png,"Map of the western region of Limgrave.  The demesne of Limgrave, far south of the Erdtree, is bordered to the northwest by the cliffs of Stormveil, and under its ever-clouded skies roll the great steppes of the pale lands. ",Maps,Map of Limgrave's western region.,"Looted from a pillar in Gatefront Ruins, just south from Stormgate[Map Link]",0
83,"Map: Limgrave, East",http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_limgrave_east_elden_ring_wiki_guide_200px.png,"Map of the eastern region of Limgrave. Other than the Mistwood which envelops the south, it is known for its lands which lead to Caelid, a path trod by many a soldier in the past. ",Maps,Map of Limgrave's eastern region.,"Can be found North-East of Mistwood Ruins, in front of a pillar containing what appears to be ancient writings[Map Link]",0
84,Map: Weeping Peninsula,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_weeping_peninsula_elden_ring_wiki_guide_200px.png,"Map of the Weeping Peninsula. The peninsula, to Limgrave's south, is named for its unceasing rainfall, redolent of lament. ",Maps,Map of Weeping peninsula.,"The map for Weeping Peninsula is found by following the main road south from the Bridge of Sacrifice, past the Castle Morne Rampart site of Grace[Map Link]",0
85,"Map: Liurnia, West",http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_liurnia_wes_elden_ring_wiki_guide_200px.png,"Map of Liurnia's western region. The majority of Liurnia, known for its vast forests and ever-present fog, is sinking into a lake. The western coast has always been closely associated with Carian royalty. ",Maps,Map of Liurnia's western region.,On a monolith in the open field northeast of the North Liurnia Lake Shore Site of Grace in northern Liurnia[Map Link],0
86,"Map: Liurnia, East",http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_liurnia_east_elden_ring_wiki_guide_200px.png,"Map of Liurnia's eastern region. The majority of Liurnia, known for its vast forests and ever-present fog, is sinking into a lake. The eastern coast is home to a highroad running north and south. ",Maps,Map of Liurnia's eastern region.,"Found in the south of the swampy lake, in the middle by a monument with enlightened texts on it, in Liurnia[Map Link]",0
87,"Map: Liurnia, North",http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_liurnia_nort_elden_ring_wiki_guide_200px.png,"Map of Liurnia's northern region. The Academy of Raya Lucaria towers over the north, while at its base spreads the town built around it, now flooded. Two highroads end their journeys here. ",Maps,Map of Liurnia's northern region.,"You can find the Liurnia North Map at the South Entrance to the Academy Gate Town, by the flooded roads leading to the Academy of Raya Lucaria",0
88,Map: Altus Plateau,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_altus_plateau_elden_ring_wiki_guide_200px.png,"Map of Altus Plateau and environs. The Altus Plateau, where the Erdtree's base can be found, contains the Royal Capital of Leyndell to the east, and Mt. Gelmir to the west. Scars from the Shattering remain apparent to this day.  ",Maps,Map of Altus Plateau and environs.,North of the Altus Highway Junction site of grace[Map Link],0
89,"Map: Leyndell, Royal Capital",http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_leyndell_royal_capital_elden_ring_wiki_guide_200px.png,"Map of the Royal Capital of Leyndell and environs. Leyndell, City of the Erdtree, is a metropolis enclosed by double ramparts. The inner wall remains unbreached to this day. ",Maps,Map of Leyndell Capital and environs.,Capital Outskirts: Found under a monolith near the Outer Wall Phantom Tree Site of Grace[Map Link],0
90,Map: Mt. Gelmir,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_mt_gelmir_elden_ring_wiki_guide_200px.png,"Map of Mt. Gelmir and environs.  Mt. Gelmir, which houses the Volcano Manor at its summit, is characterized by sheer cliffs and ominous skies. These qualities only became more pronounced after the Shattering. ",Maps,Map of Mt. Gelmir and environs.,Found on a pillar in front of the Road of Iniquity Site of Grace[Map Link],0
91,Map: Caelid,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_caelid_elden_ring_wiki_guide_200px.png,"Map of Caelid and environs. Caelid, known as the locale of the last battle between General Radahn and Malenia, Blade of Miquella, is a vast land consummately marred by scarlet rot. ",Maps,Map of Caelid and environs.,On a monolith near the middle of Caelid Highway South. Directly southeast of the Caelid Highway South Sites of Grace[Map Link],0
92,Map: Dragonbarrow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_dragonbarrow_elden_ring_wiki_guide_200px.png,"Map of Dragonbarrow and environs. The dragons that escaped the scarlet rot and made nest of the plateau to Caelid's north. Thus it was named ""Dragonbarrow,"" and none dare to enter. ",Maps,Map of Dragonbarrow and environs.,"Found on a monolith directly east of the Dragonbarrow West Site of Grace, along the road[Map Link]",0
93,"Map: Mountaintops of The Giants, West",http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_mountaintops_of_the_giants_west_elden_ring_wiki_guide_200px.png,"Map of Western Mountaintops of the Giants. Marching ground during the War against the Giants. They carved winding paths in the cliff walls right up to the summit, leading to the untrodden snow-laden region beyond. ",Maps,Map of Western Mountaintops of the Giants.,"Go up the Grand Lift of Rold from Leyndell, along the path",0
94,"Map: Mountaintops of The Giants, East",http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_mountaintops_of_the_giants_east_elden_ring_wiki_guide_200px.png,"Map of Eastern Mountaintops of the Giants. The remote, desolate eastern summit is the highest point in all the Lands Between, overlooking even the Flame Peak to the south. ",Maps,Map of Eastern Mountaintops of the Giants.,Mountaintops of the Giants: Found at the altar. You can arrive by walking on the chain from the enemy encampment [Map Link],0
95,Map: Consecrated Snowfield,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_consecrated_snowfiel_elden_ring_wiki_guide_200px.png,"Map of Consecrated Snowfield and environs. The route through this land, crossed east to west by a frozen river, leads to Miquella's Haligtree. This is the path taken by those unchosen, though it is a trial all the same. ",Maps,Map of Consecrated Snowfield and environs.,"Map for all of Consecrated Snowfield: find it by following the road north past the snowstorm until you go down and cross a frozen river, then you will spot the map pillar ahead[Map Link]",0
96,Map: Ainsel River,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_ainsel_river_elden_ring_wiki_guide_200px.png,"Map of Ainsel River and environs Two great rivers flow beneath the Lands Between, the Siofra and the Ainsel. The vast region is said to be the grave of civilizations that flourished before the Erdtree. ",Maps,Map of Ainsel River and environs.,Found inside a ruin next to the Nomadic Merchant in Ainsel River[Map Link],0
97,Map: Lake of Rot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_lake_of_rot_elden_ring_wiki_guide_200px.png,Map of Lake of Rot and environs. A great lake of standing water downstream of the Ainsel River. It is said that the divine essence of an outer god is sealed away in this land. ,Maps,Map of Lake of Rot and environs.,"Found on a corpse by the water's edge at Lake of Rot, by the Lake Rot Shoreside Site of Grace[Map Link]",0
98,Map: Siofra River,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map-siofra-river-key-item-elden-ring-wiki-guide.png,"Map of Siofra River and environs Two great rivers flow beneath the Lands Between, the Siofra and the Ainsel. This vast region is said to be the grave of civilizations that flourished before the Erdtree. ",Maps,Map of Siofra River and environs.,Found next to the staircase leading up to Hallowhorn Grounds[Map Link],0
99,Map: Mohgwyn Palace,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_mohgwyn_palace_elden_ring_wiki_guide_200px.png,"Map of Mohgwyn Palace and environs. In the lightless depths lies the grave of an ancient civilization. It is here Mohg, the Lord of Blood, is building his palace, to be the seat of his coming dynasty named Mohgwyn. And whatever nightmares that may bring. ",Maps,Map of Mohgwyn Palace and environs.,"Found soon after accessing the staircase to Mohgwyn Dynasty Mausoleum, in the underground of Mohgwyn Palace - found just past a group of blood Albinaurics that summon giant skeletons[Map Link]",0
100,Map: Deeproot Depths,http://eldenring.wiki.fextralife.com/file/Elden-Ring/map_deeproot_depths_elden_ring_wiki_guide_200px.png,Map of Deeproot Depths and environs. At the very depths of the Erdtree's majestic roots lies the source of the Ainsel and the Siofra rivers. Here too begins the network of Greattree roots that spread throughout the Lands Between.  ,Maps,Map of Deeproot Depths and environs.,Can be found on a corpse in a gazebo amid the destroyed ruins[Map Link],0
101,Academy Scroll,http://eldenring.wiki.fextralife.com/file/Elden-Ring/academy_scroll_elden_ring_wiki_guide_200px.png,"Scroll of the Academy of Raya Lucaria, the glintstone sorcerers' place of study. Can be given to a learn sorcerer to gain access to the following sorceries: - Great Glintstone Shard- Swift Glintstone Shard ",Spell Unlock,Give to a learned sorcerer to unlock Great Glintstone Shard and Swift Glintstone Shard for purchase.,"Liurnia Found in a graveyard, west of the Lake-Facing Cliff site of grace[Map Link]",0
102,Conspectus Scroll,http://eldenring.wiki.fextralife.com/file/Elden-Ring/conspectus_scroll_elden_ring_wiki_guide_200px.png,A sorcery scroll from the Academy of Raya Lucaria. Details superior sorceries taught to scholars worthy of donning the stone crown and studying a certain conspectus.  Can be given to a learned sorcerer to gain access to the following sorceries:  - Glintstone Cometshard - Star Shower ,Spell Unlock,Give to a learned sorcerer to unlock Glintstone Cometshard and Star Shower for purchase.,"Great Hall, Raya Lucaria Academy From the doorway, go left and you'll find a room, there is a body that you can loot to find the scroll[Map Link]",0
103,Royal House Scroll,http://eldenring.wiki.fextralife.com/file/Elden-Ring/royal_house_scroll_elden_ring_wiki_guide_200px.png,"Sorcery scroll of the Carian royal family, the heads of the Academy of Raya Lucaria. Can be given to a learned sorcerer to gain access to the following sorceries: -Glintblade Phalanx-Carian Slicer ",Spell Unlock,Give to a learned sorcerer to unlock Glintblade Phalanx and Carian Slicer for purchase.,"Head southeast from the Agheel Lake South site of grace, head to the top of a cliff and you'll see a statue of an object that looks like the half piece of a bowl or a circle. Face the other way, to see a Knight. Keep going to a structure to see a man standing watching over the big structure, alongside a dead body. In that body, you will find the Royal House Scroll. [Map Link]",0
104,Two Fingers Prayerbook,http://eldenring.wiki.fextralife.com/file/Elden-Ring/two_fingers_prayerbook_elden_ring_wiki_guide_200px.png,Prayerbook containing incantations of the Two Fingers.An item once entrusted to Tarnished worthy of lordship. Can be given to a learned cleric to gain access to the following incantations: - Lord's Heal - Lord's Aid ,Spell Unlock,Give to a learned cleric to unlock Lord's Heal and Lord's Aid for purchase.,"Located nearby a fireplace in the Fortified Manor in Leyndell, Royal Capital",0
105,Assassin's Prayerbook,http://eldenring.wiki.fextralife.com/file/Elden-Ring/assassins_prayerbook_elden_ring_wiki_guide_200px.png,Prayerbook of the Roundtable Hold's assassins. Can be given to a learned cleric to gain access to the following incantations: - Assassin's Approach - Darkness ,Spell Unlock,Give to a learned cleric to unlock Assassin's Approach and Darkness for purchase.,"Can be found behind the second Imp Statue door in Roundtable Hold, the first door will require one Key to open, and the second door behind the first requires two keys to open. So you will need three keys total to unlock this.",0
106,Golden Order Principia,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_order_principia_elden_ring_wiki_guide_200px.png,Prayerbook of the Golden Order fundamentalists. A dense and complex academic treatise that contains the Order's fundamental principles. Can be given to a learned cleric to gain access to the following incantations: Radagon's Rings of Light Law of Regression ,Spell Unlock/ Quest,Give to a learned cleric to unlock Radagon's Rings of Light and Law of Regression for purchase.,"Located in a chair hanging from the ceiling directly above the[Erdtree Sanctuary site in Leyndell, Royal Capital. ([Map Link]) From the Erdtree Sanctuary site in Leyndell, Royal Capital, exit the east side of the room. Once outside, climb up the root to the left that circles back into the building's 2nd floor. Once inside, exit the only door and immediately turn left to jump down to a nearby roof. Once on the roof, a broken window can be used to get back inside. After entering the broken window, climb the root crossing the room to reach the Golden Order Principia, which is located in the chair hanging from the ceiling.",0
107,Dragon Cult Prayerbook,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragon_cult_prayerbook_elden_ring_wiki_guide_200px.png,Prayerbook of the capital's ancient dragon cult. A text of the knights' faith that arose after the War of the Ancient Dragons. Can be given to a learned cleric to gain access to the following incantations: - Lightning Spear- Honed Bolt- Electrify Armament ,Spell Unlock,"Give to a learned cleric to unlock Lightning Spear, Honed Bolt, and Electrify Armament for purchase.",Dropped by a knight patrolling immediately south of the Liurnia Artist's Shack[Map Link],0
108,Ancient Dragon Prayerbook,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ancient_dragon_prayerbook_elden_ring_wiki_guide_200px.png,Prayerbook of the capital's ancient dragon cult. A lost tome that never reached the Lands Between. Contains red lightning incantations. Can be given to a learned cleric to gain access to the following  incantations: - Ancient Dragons' Lightning Spear - Ancient Dragons' Lightning Strike ,Spell Unlock,Give to a learned cleric to unlock Ancient Dragons' Lightning Spear and Ancient Dragons' Lightning Strike for purchase.,"In the middle of the main hall after finding the Crumbling Beast Grave Depths Farum Azula Site of Grace, in Crumbling Farum Azula[Map Link]",0
109,Fire Monks' Prayerbook,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_monks_prayerbook_elden_ring_wiki_guide_200px.png,"Prayerbook of the Fire Monks, who came from the Mountaintops of the Giants far to the north. Can be given to a learned cleric to gain access to the following incantations: - O, Flame! - Surge, O Flame! ",Spell Unlock,"Give to a learned cleric to unlock O, Flame! and Surge, O Flame! for purchase.",Liurnia: Found on a corpse in a Fire Monk outpost in the southern landmass[Map Link],0
110,Giant's Prayerbook,http://eldenring.wiki.fextralife.com/file/Elden-Ring/giants_prayerbook_elden_ring_wiki_guide_200px.png,"Prayerbook that contains the secrets of the Fire Giants. Kept hidden by the prelates who monitor the Giant's Flame. Can be given to a learned cleric to gain access to the following incantations: - Giantsflame Take Thee- Flame, Fall Upon Them ",Spell Unlock,"Give to a learned cleric to unlock Giantsflame Take Thee and Flame, Fall Upon Them for purchase.","Inside a chest at the very top of Guardian's Garrison in Mountaintops of the Giants. It's in a tower behind NPC mini-boss Chief Guardian Arghanthy, up a ladder. [Map Link]",0
111,Godskin Prayerbook,http://eldenring.wiki.fextralife.com/file/Elden-Ring/godskin_prayerbook_elden_ring_wiki_guide_200px.png,Prayerbook bound in supple skin.Incantations of the god-slaying black flame are written within. Can be given to a learned cleric to gain access to the following incantations: - Black Flame- Black Flame Blade ,Spell Unlock,Give to a learned cleric to unlock Black Flame and Black Flame Blade for purchase.,"Stormveil Castle. From the Rampart Tower site of grace, head outside. Take a running jump onto the roof across. From the roof, drop down to the grassy courtyard. Descend down the nearby stairs and follow its path until you find a fog wall. Use a Stonesword Key to pass through it and the prayerbook will be in one of the two chests inside the room. [Map Link]",0
