id,name,image,type,effect,description,dlc
0,Blue Cipher Ring,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blue_cipher_ring_elden_ring_wiki_guide_200px.png,Reusable,Answers requests for summoning from hunters,"Item for online play. (Can also be used from the Multiplayer menu.) Puts the wearer in ready state to answer should someone in another world call for rescue. You will be summoned to their world as a hunter. During hunter multiplayer, your objective will be to defeat the invader of the summoned world.",0
1,White Cipher Ring,http://eldenring.wiki.fextralife.com/file/Elden-Ring/white_cipher_ring_elden_ring_wiki_guide_200px.png,Reusable,"When invaded, request the aid of a hunter",Item for online play. (Can also be used from the Multiplayer menu.) Allows you to automatically request for a hunter from another world to come to your rescue when your world is invaded. (Summoning is not always possible.) One of the lost mystic codes said to have been bestowed by the Two Fingers.,0
2,Furlcalling Finger Remedy,http://eldenring.wiki.fextralife.com/file/Elden-Ring/furlcalling_finger_remedy_elden_ring_wiki_guide_200px.png,Consumable,Reveals co-op and hostile summoning signs,"Item for online play. (Can also be used from the Multiplayer menu.) Craftable item. Reveals cooperative and competitive multiplayer signs. Co-op summoning signs will be shown in gold, while hostile summoning signs will be shown in red. Multiplayer begins when you summon a player from another world through their sign.",0
3,Finger Severer,http://eldenring.wiki.fextralife.com/file/Elden-Ring/finger_severer_elden_ring_wiki_guide_200px.png,Reusable,"Sends another, or oneself, home","Item for online play. (Can also be used from the Multiplayer menu.) Use as a Host of Fingers to select a summoned player and send them back to their world. Use when you have been summoned to another player's world to return to your own world. This phantom blade severs the link formed by a Furled Finger, but the maidens scorn those who abuse its use.",0
4,Tarnished's Furled Finger,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tarnisheds_furled_finger_elden_ring_wiki_guide_200px.png,Reusable,Creates cooperative multiplayer summon sign,"Item for online play. (Can also be used from the Multiplayer menu.) Creates a summon sign for cooperative multiplayer. Arrive as a cooperator (Furled Finger) with the objective of defeating the area boss of the world to which you were summoned. A finger of corpse wax, furled like a hook. It is a relic of those who came before, left to help those who would come after.",0
5,Duelist's Furled Finger,http://eldenring.wiki.fextralife.com/file/Elden-Ring/duelists_furled_finger_elden_ring_wiki_guide_200px.png,Reusable,Creates competitive multiplayer summon sign.,"Item for online play. (Can also be used from the Multiplayer menu.) Creates a summon sign for competitive multiplayer. Arrive as an adversary (Duelist) with the objective of defeating the Host of Fingers of the world to which you were summoned. A finger of corpse wax, furled like a hook. The bronze adornments are the mark of a duelist.",0
6,Tarnished's Wizened Finger,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tarnisheds_wizened_finger_elden_ring_wiki_guide_200px.png,Reusable,Used to write messages to other worlds,"Item for online play. (Can also be used from the Messages menu.) Use to write messages. Your messages will be conveyed to other worlds, allowing other players to read them. A finger of corpse wax, so emaciated the bone is visible. It is a relic of those who came before, left to help those who would come after.",0
7,Bloody Finger,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloody_finger_elden_ring_wiki_guide_200px.png,Reusable,Attempts invasion of other player's world,"Item for online play. (Can also be used from the Multiplayer menu.) Attempts an invasion of another player's world. If successful, you will arrive as an invader (Bloody Finger) with the objective of defeating the Host of Fingers of that world. Glistening blood has been siphoned into the nail of this finger. Its sickly pale skin feels nothing now, but the nail still aches with sweetest pain.",0
8,Taunter's Tongue,http://eldenring.wiki.fextralife.com/file/Elden-Ring/taunters_tongue_elden_ring_wiki_guide_200px.png,Reusable,Lures in invaders,"Item for online play. (Can also be used from the Multiplayer menu.) Lures in invaders. This allows your world to be invaded without any Furled Finger cooperators present, and it also shortens the interval between windows of opportunity for invasion. Additionally, enables the arrival of a second invader to join when a cooperator is present. (With two invaders, the maximum number of cooperators becomes one.) Dark Souls",0
9,Grace Mimic,http://eldenring.wiki.fextralife.com/file/Elden-Ring/grace_mimic_elden_ring_wiki_guide_200px.png,Consumable,"Light shows the path, but without order","A fetish indicating the guidance of grace. Craftable item. Similar to grace, this fetish draws rays guiding the way, only without any sense of order. Useful as a last resort for those who have lost their way, or for use by those who believe that unrefined guidance will lead to truer encounters.",0
10,Small Golden Effigy,http://eldenring.wiki.fextralife.com/file/Elden-Ring/small_golden_effigy_elden_ring_wiki_guide_200px.png,Reusable,Sends a co-op sign to summoning pools,"Item for online play. (Can also be used from the Multiplayer menu.) Send a cooperative summon sign to several nearby summoning pools (activated pools only). In cooperative multiplayer, your objective will be to defeat the area boss of the world to which you were summoned.",0
11,Small Red Effigy,http://eldenring.wiki.fextralife.com/file/Elden-Ring/small_red_effigy_elden_ring_wiki_guide_200px.png,Reusable,Sends a hostile sign to summoning pools,"Item for online play. (Can also be used from the Multiplayer menu.) Send a competitive summon sign to several nearby summoning pools (activated pools only). In competitive multiplayer, your objective will be to defeat the Host of Fingers of the world to which you were summoned.",0
12,Festering Bloody Finger,http://eldenring.wiki.fextralife.com/file/Elden-Ring/festering_bloody_finger_elden_ring_wiki_guide_200px.png,Consumable,Attempts invasion of other player's world,"Item for online play. (Can also be used from the Multiplayer menu.) Consumed upon use. Attempts an invasion of another player's world. If successful, you will arrive as an invader (Bloody Finger) with the objective of defeating the Host of Fingers of that world. This furled finger is blackened with blood congestion. It seems to have been chopped off rather unceremoniously.",0
13,Recusant Finger,http://eldenring.wiki.fextralife.com/file/Elden-Ring/recusant_finger_elden_ring_wiki_guide_200px.png,Reusable,Attempts invasion of other player's world,"Item for online play. (Can also be used from the Multiplayer menu.) Attempts an invasion of another player's world. If successful, you will arrive as an invader (Recusant) with the objective of defeating the Host of Fingers of that world. This furled finger is covered in snake scales. An heirloom of the lord of the Volcano Manor, bequeathed to Tarnished who have become family.",0
14,Scriptstone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scriptstone_elden_ring_wiki_guide_200px.png,Consumable,Reveals more messages from other worlds,"Ruin Fragment with a cipher inscription. Craftable item. Uses FP to reveal more messages from other worlds. Words are gregarious things, drawn to one another much as people are.",0
15,Phantom Bloody Finger,http://eldenring.wiki.fextralife.com/file/Elden-Ring/phantom-bloody-finger-elden-ring-wiki-guide.png,Consumable,Attempts repeat invasion of last targeted world,Item for online play.Obtained after invading another world.Consumed upon use. Attempts another invasion of the most recently invaded world.This may come in handy should separation from the Host of Fingers force a temporary retreat.,0
