id,name,image,type,description,option 1,option 2,value,boss,dlc
0,Remembrance of the Wild Boar Rider,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_wild_boar_rider_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of Commander Gaius, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. Both were as elder brothers to the lion, and both were cursed from birth. In spite of, or perhaps because of this very reason, Gaius was both Messmer's friend and the leader of his men. ",Weapon: Sword Lance,Sorcery: Blades of Stone,"30,000",Commander Gaius,1
1,Remembrance of the Impaler,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_impaler_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of Messmer the Impaler, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. A malevolent snake writhed within Messmer, and so his very mother plucked out his eye and put in its place a seal of grace. Yet, having done so, her fear compelled her to secret away her child within the realm of shadow. Hidden away—keeping company with the original sin, and a hatred that would not be confined. ",Weapon: Spear of the Impaler,Incantation: Messmer's Orb,"40,000",Messmer the Impaler,1
2,Remembrance of the Shadow Sunflower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_shadow_sunflower_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of the Scadutree Avatar, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. The Scadutree is the shadow of the Erdtree. Born of dark notions that bear no sense of Order, that twist and bend its stock, rendering it brittle. ",Weapon: Shadow Sunflower Blossom,Incantation: Land of Shadow,"40,000",Scadutree Avatar,1
3,Remembrance of the Twin Moon Knight,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_twin_moon_knight_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of Rellana, the Twin Moon Knight, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. Once a Carian princess, Rellana disavowed her birthright and chose to stand at Messmer's side instead, knowing full well that not even the brilliance of the moon could grant him succor. Before long, she became known as the Sword of Messmer. ",Weapon: Rellana's Twinblade,Sorcery: Rellana's Twin Moons,"30,000","Rellana, Twin Moon Knight",1
4,Remembrance of the Saint of the Bud,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_saint_of_the_bud_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of Romina, Saint of the Bud, hewn into the Scadutree.  The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes.  After the church was burned to the ground, Romina discovered a twisted divine element, which she weaved into the baleful scarlet rot.  Perhaps then, the buds might find somewhere to gain purchase once more, within the scorched remains. ",Weapon: Poleblade of the Bud,Incantation: Rotten Butterflies,"30,000","Romina, Saint of the Bud",1
5,Remembrance of the Dancing Lion,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_dancing_lion_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of the Dancing Lion, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. When the Impaler's army assailed the tower, the ritual of the lion dance was turned toward martial ends—its divinity, its fury, its light-footed beauty. ",Talisman:Enraged Divine Beast,Ash of War:Ash of War: Divine Beast Frost Stomp,"30,000",Divine Beast Dancing Lion,1
6,Remembrance of a God and a Lord,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_a_god_and_a_lord.png,Remembrance,"Remembrance of Radahn, consort of Miquella, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. In their childhood, Miquella saw in Radahn a lord. His strength, and his kindness, that stood in stark contrast with their afflicted selves. And so Miquella made his heartfelt wish. That Radahn would one day be his king consort. ",Greatsword of Radahn (Lord)/Greatsword of Radahn (Light),Light of Miquella,"50,000","Radahn, Consort of Miquella",1
7,Remembrance of the Lord of Frenzied Flame,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_lord_of_frenzied_flame_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of Midra, Lord of Frenzied Flame, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. As the golden barbs inflicted eternal agony upon him, Midra held fast to Nanaya's entreaty: ""Endure."" The word was a curse. ",Weapon: Greatsword of Damnation,Incantation: Midra's Flame of Frenzy,"40,000","Midra, Lord of Frenzied Flame",1
8,Remembrance of the Mother of Fingers,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_mother_of_fingers_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of Metyr, the Mother of Fingers, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. The mother of all Two Fingers and Fingercreepers was in turn a magnificently gleaming daughter of the Greater Will, and the first shooting star to fall upon the Lands Between. ",Weapon: Staff of the Great Beyond,Weapon:Gazing Finger,"40,000","Metyr, Mother of Fingers",1
9,Remembrance of Putrescence,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_putrescence_remembrances_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"Remembrance of the Putrescent Knight, hewn into the Scadutree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. All tainted flesh eventually becomes putrescence, and this clump of it imbibed St. Trina's nectar, which granted it eternal rest. And so it was that putrescence became her knight. ",Weapon: Putrescence Cleaver,Sorcery: Vortex of Putrescence,"30,000",Putrescent Knight,1
10,Heart of Bayle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/heart_of_bayle_key_items_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Remembrance,"The biatrial heart of Bayle the Dread. Dotted with horn-like gravel stones and glistening with deep-red liquor. Gorge upon this at the Grand Altar of Dragon Communion to absorb Bayle's power. The purest form of Communion, in the words of its priestess. ",Incantation:Bayle's Flame Lightning,Incantation:Bayle's Tyranny,0,Bayle the Dread,1
11,Remembrance of the Regal Ancestor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_regal_ancestor_elden_ring_wiki_guide_200px.png,Remembrance,"Remembrance of the Regal Ancestor Spirit, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader.Alternatively, it can be used to gain a great bounty of runes. Ancestral spirits exist as a phenomenon beyond the purview of the Erdtree. Life sprouts from death, as it does from birth. Such is the way of the living. ",Weapon:Winged Greathorn,Talisman:Ancestral Spirit's Horn,"30,000",Regal Ancestor Spirit,0
12,Remembrance of theNaturalborn,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_naturalborn_elden_ring_wiki_guide_200px.png,Remembrance,"Remembrance of Astel, Naturalborn of the Void, hewn into the Erdtree.  The power of its namesake can be unlocked by the Finger Reader.Alternatively, it can be used to gain a great bounty of runes. A malformed star born in the flightless void far away. Once destroyed an Eternal City and took away their sky. A falling star of ill omen. ",Ash of War:Waves of Darkness,Weapon:Bastard's Stars,"30,000","Astel, Naturalborn of the Void",0
13,Remembrance of theLichdragon,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_lichdragon_elden_ring_wiki_guide_200px.png,Remembrance,"Remembrance of Lichdragon Fortissax, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. After Godwyn the Golden became the Prince of Death, the ancient dragon fought long and hard against the Death within its companion. Alas, victory was never achieved and its only reward was corruption. ",Incantation:Fortissax's Lightning Spear,Incantation:Death Lightning,"30,000",Lichdragon Fortissax,0
14,Remembrance of the Fire Giant,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_fire_giant_elden_ring_wiki_guide_200px.png,Remembrance,"Remembrance of Fire Giant, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. The Fire Giant is a survivor of the War against the Giants. Upon  realizing the flames of their forge would never die, Queen Marika  marked him with a curse. ""O trifling giant, mayest thou tend thy  flame for eternity."" ",Weapon:Giant's Red Braid,"Incantation:Burn, O Flame!","30,000",Fire Giant,0
15,Remembrance of the Grafted,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_grafted_elden_ring_wiki_guide_200px.png,Remembrance,"Remembrance of Godrick, the Grafted, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader.  Alternatively, it can be used to gain a great bounty of runes. A feeble man sought power through the grotesque act of grafting. ""One day we'll return together, to our home, bathed in rays of gold."" ",Weapon:Axe of Godrick,Weapon:Grafted Dragon,"20,000",Godrick the Grafted,0
16,Remembrance of the Full Moon Queen,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_full_moon_queen_elden_ring_wiki_guide_200px.png,Remembrance,"Remembrance of Rennala, Queen of the Full Moon, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader.Alternatively, it can be used to gain a great bounty of runes. In her youth, Rennala was a prominent champion who charmed the academy with her lunar magic, becoming its master. She also led the Glintstone Knights and established the house of Caria as royalty. ",Sorcery:Rennala's Full Moon,Weapon:Carian Regal Scepter,"20,000","Rennala, Queen of the Full Moon",0
17,Remembrance of theBlasphemous,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_blasphemous_elden_ring_wiki_guide_200px.png,Remembrance,"Remembrance of Rykard, Lord of Blasphemy, hewn into the  Erdtree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. Rykard took the form of a giant serpent that he might devour, grow, and live eternally. ""I understand. The road of blasphemy is long and perilous. One cannot walk it unprepared to sin."" ",Sorcery:Rykard's Rancor,Weapon:Blasphemous Blade,"50,000","Rykard, Lord of Blasphemy",0
18,Remembrance of theStarscourge,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_starscourge_elden_ring_wiki_guide_200px.png,Remembrance,"Remembrance of Starscourge Radahn, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader.Alternatively, it can be used to gain a great bounty of runes. The Red Lion General wielded gravitational powers which he learned in Sellia during his younger days. All so he would never have to abandon his beloved but scrawny steed. ",Weapon:Starscourge Greatsword,Weapon:Lion Greatbow,"40,000",Starscourge Radahn,0
19,Remembrance of the Omen King,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_omen_king_elden_ring_wiki_guide_200px.png,Remembrance,"Remembrance of Morgott, the Omen King, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader.Alternatively, it can be used to gain a great bounty of runes. Though born one of the graceless Omen, Morgott took it upon himself to become the Erdtree's protector. He loved not in return, for he was never loved, but nevertheless, love it he did. ",Weapon:Morgott's Cursed Sword,Reusable Tool:Regal Omen Bairn,"30,000",Morgott the Omen King,0
20,Remembrance of the Blood Lord,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_blood_lord_item_elden_ring_wiki_guide_200px.png,Remembrance,"Remembrance of Mohg, Lord of Blood, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader.Alternatively, it can be used to gain a great bounty of runes. Wishing to raise Miquella to full godhood, Mohg wished to become his consort, taking the role of monarch. But no matter how much of his bloody bedchamber he tried to share, he received no response from the young Empyrean. ",Weapon:Mohgwyn's Sacred Spear,Incantation:Bloodboon,"30,000","Mohg, Lord of Blood",0
21,Remembrance of the Rot Goddess,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_rot_goddess_elden_ring_wiki_guide_200px.png,Remembrance,"Remembrance of Malenia, Goddess of Rot, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. Miquella and Malenia are both the children of a single god. As such they are both Empyreans, but suffered afflictions from birth. One was cursed with eternal childhood, and the other harbored rot within. Carved into the Golden Tree Goddess of Rot, Recollection of Malenia Miquella and Malenia, are children of a single god because of this, the pair are god people, but, their lives are frail one, is forever immature, the other carries rot zei・jyaku the body is easy to enter, whether it's pathogens... or overly sentimental cursed I am Malenia. Blade of Miquella weak easy to beat ",Weapon:Hand of Malenia,Incantation:Scarlet Aeonia,"50,000","Malenia, Blade of Miquella",0
22,Remembrance of the Black Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_black_blade_elden_ring_wiki_guide_200px.png,Remembrance,"Remembrance of Maliketh, the Black Blade, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. Maliketh was a shadowbound beast given to his Empyrean. Marika's sole need of her shadow was a vessel to lock away Destined Death. Even then, she betrayed him. ",Weapon:Maliketh's Black Blade,Incantation:Black Blade,"30,000","Maliketh, the Black Blade",0
23,Remembrance of Hoarah Loux,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_hoarah_loux_elden_ring_wiki_guide_200px.png,Remembrance,"Remembrance of the warrior Hoarah Loux, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader.Alternatively, it can be used to gain a great bounty of runes. When Godfrey, first Elden Lord was robbed of his grace, becoming Tarnished, he took with him his kinfolk and left the Lands Between. After the Long March of the Tarnished came to an end, Godfrey divested himself of kingship, becoming a simple warrior once more. ",Weapon:Axe of Godfrey,Ash of War:Hoarah Loux's Earthshaker,"30,000","Hoarah Loux, Warrior",0
24,Remembrance of theDragonlord,http://eldenring.wiki.fextralife.com/file/Elden-Ring/remembrance_of_the_dragonlord_item_elden_ring_wiki_guide_200px.png,Remembrance,"Remembrance of Dragonlord Placidusax, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. The Dragonlord whose seat lies at the heart of the storm beyond  time is said to have been Elden Lord in the age before the Erdtree.  Once his god was fled, the lord continued to await its return. ",Weapon:Dragon King's Cragblade,Incantation:Placidusax's Ruin,"30,000",Dragonlord Placidusax,0
25,Elden Remembrance,http://eldenring.wiki.fextralife.com/file/Elden-Ring/elden_remembrance_elden_ring_wiki_guide_200px.png,Remembrance,"Remembrance of the Elden Beast, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. It was the vassal beast of the Greater Will and living incarnation of the concept of Order. ",Weapon: Marika's Hammer,Weapon: Sacred Relic Sword,"50,000",Elden Beast,0
