id,name,image,location,role,voiced by,description,dlc
0,Abandoned Merchant Siofra River,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nomadic-merchant-siofra-river-elden-ring-wiki-guide-300px.jpg,Siofra River,General Goods Shop,Voice Actor goes here.,"Abandoned Merchant Siofra River is an NPC and one of several Nomadic Merchants in Elden Ring. Abandoned Merchants sell various items and equipment including Consumables, Materials, Weapons and Armor as well as notes containing hints on how to acquire certain items. This Abandoned Merchant can be found inside one of the ruins in Central Siofra River.",0
1,Aeonian Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/swamp_of_aoenia_spirit.jpg,Northern cliff of Swamp of Aeonia,Benevolent,,The Aeonian Spirit is an NPC in Elden Ring. He stands upon the northern cliffs of the Swamp of Aeonia.,0
2,Aeonian Swamp Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/aeonianswampspirit_.jpg,Aeonia Swamp Shore,Benevolent,,The Aeonian Swamp Spirit is an NPC in Elden Ring. He rests on the shore of the swamp and looks out towards the Heart of Aeonia.,0
3,Albinauric Village Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/albinauricvillagespiritb.jpg,Village of the Albinaurics,Benevolent,,"The Albinauric Village Spirit is an NPC in Elden Ring. Located in the Village of the Albinaurics, he wishes for Albus' safety and gives you a hint on how to find him.",0
4,Albus,http://eldenring.wiki.fextralife.com/file/Elden-Ring/albus-npc-elden-ring-wiki-guide.jpg,"Village of the Albinaurics, Liurnia of the Lakes",Gives Key Item,Martyn Ellis,Albus is an NPC in Elden Ring. Albus is an Albinauric who is trying to hide from the calamity that befell Village of the Albinaurics in Liurnia of the Lakes. He has an important item that he would like you to protect,0
5,Sir Ansbach,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ansbach(1).png,"Outside Belurat, Tower Settlement","Pureblood Knight Captain (former), NPC Quest Related",Ben Miles,"Sir Ansbach is an NPC in Elden Ring. Sir Ansbach is a former servant of Mohg, Lord of Blood, but is now part of the group that follows Miquella through the Realm of Shadow. Sir Ansbach is an NPC exclusive to Shadow of the Erdtree and does not appear in the base game.",1
6,Ashen Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ashen_spirit_b.jpg,"Leyndell, Ashen Capital",Benevolent,,Ashen Spirit is an NPC in Elden Ring. Ashen Spirit can be found sitting on the ground in the ash.,0
7,Blackguard Big Boggart,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blackguard-npc-elden-ring-wiki-guide.jpg,Boilprawn Shack,Blackguard,Dean Fagan,"Blackguard Big Boggart is an NPC in Elden Ring. Initially encountered as the thief of Rya's Necklace, he is a minor NPC and merchant.",0
8,Blaidd the Half-Wolf,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blaidd-wolfman-location2-npc-elden-ring-wiki-300px-min.jpeg,,Quest NPC and summon,Scott Arthur,Mistwood Ruins Forlorn Hound Evergaol Siofra River Redmane Castle Three Sisters,0
9,Bloody Finger Hunter Yura,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloody-finger-hunter-yura-npc-elden-ring-wiki-guide.jpg,Limgrave: near Seaside RuinsLiurnia of the Lakes: Near Raya Lucaria Academy entrance.Altus Plateau: Second Church of Marika,Quest NPC and Summonable Cooperator,Shaun Dooley,Limgrave: near Seaside RuinsLiurnia of the Lakes: Near Raya Lucaria Academy entrance.Altus Plateau: Second Church of Marika,0
10,Boc the Seamster,http://eldenring.wiki.fextralife.com/file/Elden-Ring/boc_npcs_elden_ring_wiki_guide_300px.jpg,Limgrave,Garments Adjuster andQuest NPC,Calvin A. Dean,Boc the Seamster is an NPC in Elden Ring. Boc is a Demi-Human who is capable of advanced communication. Boc is initially met by the player in the form of a small tree.,0
11,Brother Corhyn,http://eldenring.wiki.fextralife.com/file/Elden-Ring/brother_corhyn_npcs_elden_ring_wiki_guide.jpg,Roundtable Hold,Merchant and Quest NPC,Samuel Barnett,Brother Corhyn is an NPC in Elden Ring. Brother Corhyn is a holy practitioner who will teach you practical faith-based Incantations in exchange for Runes. You will encounter him once you've reached the Roundtable Hold.,0
12,Carian Manor Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/carianmanorspirit.jpg,Carian Manor,Benevolent,,"The Carian Manor Spirit is an NPC in Elden Ring. He can be found sitting on a chair, inside the",0
13,Church of Pilgrimage Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/church-of-pilgrimage-spirit-npc.png,Church of Pilgrimage,Spirit NPC,,The Church of Pilgrimage Spirit is an NPC in Elden Ring. They can be found outside of the Church of Pilgrimage in the Weeping Peninsula.,0
14,"Count Ymir, High Priest",http://eldenring.wiki.fextralife.com/file/Elden-Ring/ymir.png,Cathedral of Manus Metyr,Merchant,Matthew Gravelle,"Count Ymir, High Priest is an NPC in Elden Ring. Count Ymir, High Priest is a High Priest who oversees the Cathedral of Manus Metyr. He sells a collection of spells that can be purchased with runes. He has a servant named Jolan, who can be summoned during certain fights after progressing his questline. Count Ymir, High Priest is an NPC exclusive to the Shadow of the Erdtree DLC and does not appear in the base game.",1
15,"D, Beholder of Death",http://eldenring.wiki.fextralife.com/file/Elden-Ring/d_twin_brother_npcs_elden_ring_wiki_guide_300px.jpg,"Nokron, Eternal City",Quest NPC and Summon,???,"D, Beholder of Death (real name: Devin) is an NPC in Elden Ring. He can be found in Nokron, Eternal City, east of the Great Waterfall Basin grace. To interact with D, Beholder of Death, you need the Twinned Armor. If given the armor, he will be available as a summon against the Valiant Gargoyle pair. He is the twin brother of Darian, also known as D, Hunter of the Dead.",0
16,"D, Hunter of the Dead",http://eldenring.wiki.fextralife.com/file/Elden-Ring/d-hunter-of-the-dead-npc-elden-ring-wiki-guide.jpg,Roundtable Hold,Quest NPC and Summon,Huw Parmenter,"D, Hunter of the Dead is an NPC in Elden Ring. D is a hunter of the undead who can be found where the Tibia Mariner boss is located, and later at the Roundtable Hold. When you first encounter D, he will warn you that the nearby small town of Summonwater Village has been taken over by a Mariner. If the player shows him Deathroot and takes him up on his offer of introduction, he will mark your map with a red ""Sending Gate"" waypoint, indicating that it will take you to the Beast Clergymen.",0
17,Deathtouched Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/deathtouchedspirit.jpg,Outside the Deathtouched Catacombs,Spirit NPC,,The Deathtouched Spirit is an NPC in Elden Ring. He can be found sitting defeated out the front of the Deathtouched Catacombs in Northern Limgrave.,0
18,Knight Diallos,http://eldenring.wiki.fextralife.com/file/Elden-Ring/diallos-npc-elden-ring-wiki-300px-min.jpeg,Roundtable Hold,Quest NPC,Peter Caulfield,"Diallos is an NPC in Elden Ring. Diallos is a noble you'll come across at the Roundtable Hold. Upon welcoming you, he mentions that he's looking for a loyal servant to his house called Lanya, and asks you to tell him if you happen to come across her.",0
19,Dragon Communion Priestess,http://eldenring.wiki.fextralife.com/file/Elden-Ring/priestess.png,Grand Altar of Dragon Communion,Questline Related,Kajsa Mohammar,"Dragon Communion Priestess is an NPC in Elden Ring. Dragon Communion Priestess is a survivor of the ancient dragon worshippers, or also known as servants of Dragonlord Placidusax. Dragon Communion Priestess is exclusive to the Shadow of the Erdtree DLC and does not appear in the base game.",1
20,Dryleaf Dane,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dryleaf.png,Moorth RuinsEnir-Ilim,Mini-Boss,Alec Newman,"Dryleaf Dane is an NPC in Elden Ring. Dryleaf Dane is an NPC exclusive to the Shadow of the Erdtree expansion. Dryleaf Dane is a master of hand-to-hand combat, he leaves a Monk's Missive for travelers to find and wish to seek a challenge and learn the way of the warrior.",1
21,Dung Eater,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dung_eater_npcs_elden_ring_wiki_guide_300px.jpg,Roundtable Hold Subterannean Shunning-Grounds,"Quest NPC, Invader, and Summon",Jim Johnson,Roundtable Hold,0
22,Eclipse Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/eclipsespiritb.jpg,"Church of Eclipse, Castle Sol",Spirit NPC,,The Eclipse Spirit is an NPC in Elden Ring. He can be seen praying inside the Church of Eclipse.,0
23,Edgar,http://eldenring.wiki.fextralife.com/file/Elden-Ring/edgar-npcs-elden-ring-wiki-guide.jpg,"Castle Morne, Weeping Peninsula","Morne Castellan, Quest NPC",Richard Hainsworth,Edgar is an NPC in Elden Ring. Edgar is Irina's father and introduces himself as the warden of Castle Morne. He can be found sitting on a bench in a non-hostile area of the ramparts of the castle. His NPC Summon Sign can be used to fight against the Leonine Misbegotten once he has received Irina's Letter.,0
24,Enia,http://eldenring.wiki.fextralife.com/file/Elden-Ring/enia-npc-elden-ring-wiki-guide.jpg,Roundtable Hold,Finger Reader,Souad Faress,,0
25,Ensha of the Royal Remains,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ensha.png,Roundtable Hold,NPC Invader,,"Ensha of the Royal Remains or Ensha is an NPC in Elden Ring. He will refuse to speak to the player, but instead stare at them. He is the servant of Gideon Ofnir.",0
26,Erdtree Sanctuary Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/erdtreesanctuaryspirit.jpg,Outside Erdtree Sanctuary,Benevolent,,Erdtree Sanctuary Spirit is an NPC in Elden Ring. He is sitting in a chair facing the bridge that connects the Queen's Bedchamber to the Elden Throne.,0
27,"Fia, Deathbed Companion",http://eldenring.wiki.fextralife.com/file/Elden-Ring/fia-npc-elden-ring-wiki-300px2-min.jpeg,Roundtable Hold,Quest NPC,Chiara Goldsmith,"Fia is an NPC in Elden Ring. Fia is a deathbed companion that you will find inside a small bedroom at the Roundtable Hold. Her embrace will give you a special consumable that can increase poise called the Baldachin's Blessing, at the cost of a debuff that slightly decreases your maximum HP. You can ostensibly come back for more if you happen to run out of this consumable. Fia's Questline Steps are highlighted below.",0
28,Finger Maiden Therolina,,"Redmane Castle, Caria Manor",NPC Summon,,Finger Maiden Therolina is an NPC in Elden Ring. Finger Maiden Therolina is a sorcerer controlled by Seluvis and one of participants in Radahns' Festival,0
29,Fire Knight Queelign,http://eldenring.wiki.fextralife.com/file/Elden-Ring/queelign.png,"NPC Invader:Belurat Tower SettlementChurch of CrusadePhysical Body:Church District, Shadow Keep","NPC Invader, NPC",George Blagden,"Fire Knight Queelign is an NPC in Elden Ring. Fire Knight Queelign is an NPC exclusive to the Shadow of the Erdtree expansion, he is a knight who pledges his loyalty to Marika. Fire Knight Queelign is first encountered as an NPC Invader in Belurat Tower Settlement and at the Church of Crusade.",1
30,Frenzied Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/frenziedspirit.jpg,Near the Church of Inhibition,Spirit NPC,,The Frenzied Spirit is an NPC in Elden Ring. He can be seen near the Church of Inhibition of in Northern Liurnia.,0
31,Redmane Freyja,http://eldenring.wiki.fextralife.com/file/Elden-Ring/freyja.png,"Three-Paths Cross, Gravesite Plain","Cooperator, Questline Related",Stefanie Martini,"Redmane Freyja is an NPC in Elden Ring. Redmane Freyja is a former follower of Radahn, but is now a fervent follower of Miquella. Redmane Freyja is an NPC that can be found exclusively in the Shadow of the Erdtree DLC, and can't be found in the base game.",1
32,Frustrated Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_1_npcs_elden_ring_wiki_300px.jpg,Northernmost part of Limgrave,Benevolent,,Frustrated Spirit was an NPC in Elden Ring. Frustrated Spirit would lay beside the gates to a Colosseum North-East of Stormhill Shack.,0
33,The Gate Town Bridge Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rayaspirit.jpg,Liurnia Highway,Benevolent,,The Gate Town Bridge Spirit is an NPC in Elden Ring. He is upset over the Raya Lucaria Academy closing their gates to him.,0
34,Gatekeeper Gostoc,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gostoc.jpg,Stormveil Castle Entrance,NPC and Merchant,Ben Fox,"Gatekeeper Gostoc is an NPC in Elden Ring. Gatekeeper Gostoc is an old tall fellow that may seem a bit suspicious, but he seems to want to help. It is your choice to trust him or not.",0
35,Gideon Ofnir,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gidron-ofnir-roundtable-hold-npc-elden-ring-wiki-300px2-min.jpeg,Roundtable Hold,Guide and Lore NPC,Joe McGann,"Gideon Ofnir is an NPC in Elden Ring. Gideon Ofnir is the leader of Roundtable Hold and a profound source of knowledge. He can be found most commonly at his office, absorbed by an endless amount of books.",0
36,Godwyn the Golden,http://eldenring.wiki.fextralife.com/file/Elden-Ring/godwyn_corpse.jpg,Deeproot Depths,First Demigod to die,,"Godwyn the Golden was a demigod and son of Queen Marika the Eternal and Godfrey the First Elden Lord. In the ""Night of the Black Knives"" he was assassinated by assassins from the land of the Numen with the use of daggers imbued with the Rune of Death. Godwyn the Golden was the firstborn son of Queen Marika the Eternal and her consort Godfrey, the First Elden Lord. Godwyn was a scion of the so-called ""Golden Line"", of which Godrick the Grafted was the final descendant. Early in his mother's divine reign, the Erdtree came under assault by the Dragons, who had ruled the world before Marika's ascent. The forces of the Erdtree managed to triumph against the dragons, with Godwyn prevailing against the dreaded Fortissax, earning the mighty dragon's friendship in the process. Godwyn would eventually meet his end during the Night of Black Knives. Seeking to be free from her fate as a pawn of the Greater Will, Godwyn's step-sister Lunar Princess Ranni stole a fragment of the rune of death from Maliketh, imbuing the weapons of Numen assassins with the rune. Ranni wished to shed her Empyrean body but preserve her spirit, which meant that someone else's spirit would need to die. Nevertheless, when the assassins fell upon the Royal Capital and murdered Godwyn, his soul was destroyed and left only his soulless body behind. He was the first demigod in history to die since the ascension of Marika to the throne of the Lands Between. Godwyn's death would be the catalyst for the Shattering of the Elden Ring, plunging the kingdom into chaos without the guidance of the Greater Will. Due to Ranni's ritual, Godwyn's flesh was branded with half of the cursemark of death and he became the first of Those Who Live in Death. His body was laid to rest deep in the roots of the Erdtree, but it would eventually corrupt it, leading Deathroot to sprout across the Lands Between, causing others to also rise in undeath. These undead worshipped Godwyn as the Prince of Death, believing he would eventually return and lead them. An aspect of Godwyn's corpse appeared in the depths of Stormveil Castle and is responsible for the loss of Rogier's legs. Many figures, including his half-brother Miquella and his companion Fortissax, tried to cure him of his condition and allow him a proper death, but to no avail. The deathbed companion Fia would become a leading figure among Those Who Live in Death, eventually making her way to Godwyn's corpse. Having received the other half of the cursemark from Ranni's discarded body with help from a Tarnished champion, Fia lay with Godwyn to grant him a second life as the Prince of Death. As a result of their union, Fia conceived a rune, which a champion seeking to become Elden Lord might use to mend the Elden Ring, reimbuing the principle of death within the Golden Order.",0
37,Goldmask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/goldmask_npcs_elden_ring_wiki_guide300px.jpg,"Altus Plateau Leyndell, Royal CapitalMountaintops of the Giants",Quest NPC,Unknown,"Altus Plateau Leyndell, Royal CapitalMountaintops of the Giants",0
38,Gowry,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gowry-location-npc-elden-ring-wiki-300px-min-min.jpeg,"Gowry's Shack, Caelid",Elder Sage,Stephen Boxer,,0
39,Grape Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/grapespirit.jpg,Stormveil Castle,Benevolent,,"The Grape Spirit is an NPC in Elden Ring. Located in Stormveil Castle. He is looking for a maiden to give his grapes to and seems to have lost one, since a Shabiri Grape can be found beside him.",0
40,"Gurranq, Beast Clergyman",http://eldenring.wiki.fextralife.com/file/Elden-Ring/gurranqbeast.jpg,"Bestial Sanctum, Caelid",Special Trader,Jonathan Keeble,"Gurranq, Beast Clergyman is an NPC in Elden Ring. Gurranq appears to be a large, hunched creature that lies isolated in the Bestial Sanctum. Constantly hungering for Deathroot, he will reward those who offer it to him.",0
41,Hermit Merchant (Leyndell),http://eldenring.wiki.fextralife.com/file/Elden-Ring/hermit_merchant_npcs_elden_ring_wiki_guide.png,"Hermit Merchant's Shack, Leyndell Royal Capital",Merchant,???,Hermit Merchant (Leyndell) is an NPC in Elden Ring. Hermit Merchant (Leyndell) lives a life of seclusion within Hermit Merchant (Leyndell)'s Shack.,0
42,Hornsent,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hornsent.png,"Three-Paths Cross, Realm of Shadow","Amicable NPC, Invader NPC",Jonathan Forbes,"Hornsent is an NPC in Elden Ring. Hornsent can be found alongside Freyja at the Three-Paths Cross in the Realm of Shadow. He is exclusive to the Shadow of the Erdtree DLC, and can't be found in the base game.",1
43,Hornsent Grandam,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hornsent_grandam_npcs_sote_wiki_guide300px1.jpg,"Storeroom, Belurat, Tower Settlement",Hornsent Survivor,Sorcha Cusack,"Hornsent Grandam is an NPC in Elden Ring. Hornsent Grandam is a member of the antique race that inhabited Belurat, Tower Settlement. Her people were set to the torch by Messmer the Impaler and his forces. Hornsent Grandam is an NPC exclusive to the Shadow of the Erdtree DLC, and is not present in the base game.",1
44,Hyetta,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hyetta_2_fix_npcs_elden_ring_wiki_300px.jpg,Liurnia of the LakesSubterranean Shunning-Grounds,Quest NPC,Clare Corbett,Liurnia of the LakesSubterranean Shunning-Grounds,0
45,Igon,http://eldenring.wiki.fextralife.com/file/Elden-Ring/igon.png,Gravesite PlainJagged Peak,"Drake Warrior, NPC Quest Related",Richard Lintern,"Igon is an NPC in Elden Ring. Igon can be heard screaming in pain, and swearing revenge against a dragon. Igon is an NPC exclusive to the Shadow of the Erdtree DLC and does not appear in the base game.",1
46,Imprisoned Merchant,http://eldenring.wiki.fextralife.com/file/Elden-Ring/imprisoned_merchant.jpg,Mohgwyn Dynasty Mausoleum,General Goods Shop,,"Imprisoned Merchant is an NPC and Merchant in Elden Ring. Similar to Nomadic Merchants, the Imprisoned Merchant serves as a general goods vendor, selling various Consumables, Ammunition and other items. He can be found inside the Mohgwyn Dynasty Mausoleum.",0
47,Irina,http://eldenring.wiki.fextralife.com/file/Elden-Ring/irina_npcs_elden_ring_wiki_guide.jpg,"Bridge of Sacrifice, Weeping Peninsula",Quest NPC,Clare Corbett,"Irina is an NPC in Elden Ring. Irina is a blind character wearing a ribbon over her eyes, and a dirty dress stained with blood. She can be encountered just beyond the Bridge of Sacrifice, on the Weeping Peninsula Side. Irina warns you about a rebellion in Castle Morne, and asks you to deliver a letter to her father, commander of the castle forces.",0
48,Iron Fist Alexander,http://eldenring.wiki.fextralife.com/file/Elden-Ring/alexander_npc_elden_ring_wiki_guide_300px.jpg,,,Kevin Howarth,,0
49,Isolated Merchant Raya Lucaria,http://eldenring.wiki.fextralife.com/file/Elden-Ring/isolated-merchant-raya-lucaria-npc-elden-ring-wiki-guide.jpg,"Raya Lucaria Academy, Liurnia of the Lakes",General Goods Shop,???,Raya Lucaria,0
50,Jar Bairn,http://eldenring.wiki.fextralife.com/file/Elden-Ring/image_2022-03-17_071433.png,"Jarburg, Liurnia of the Lakes",Quest NPC,Grace Saif,,0
